ID,Nome,Email,Idade,Cidade,Nota
1,Danilo da Costa,jfreitas@example.com,24,Barbosa,3.2
2,Ágatha Costela,emanuelly51@example.com,29,Machado da Mata,1.1
3,Danilo Sousa,da-rosalara@example.com,34,Nascimento,1.7
4,Maria Laura Farias,anthony-gabrielpastor@example.net,37,da Luz de Rodrigues,8.1
5,Srta. Sabrina Fogaça,scassiano@example.org,39,Costa,6.5
6,Antônio Barbosa,dfarias@example.com,29,Fernandes,3.3
7,Vitor Gabriel Machado,joao-miguel05@example.com,27,Brito,6.9
8,Ana Sophia Melo,piresluiz-felipe@example.org,29,Pinto das Flores,5.1
9,Gustavo da Costa,henry-gabrielsantos@example.org,29,Melo,3.0
10,Dra. Maria Julia Cunha,hadassacardoso@example.com,35,Porto Paulista,1.0
